user_id,external_item_id,category_id,score,rank_no,recommend_type,reason
1,4263223,1575622,1.054555,1,model_itemcf,与用户历史商品 2041056 协同相似
1,2967829,2640118,0.793375,2,model_itemcf,与用户历史商品 3157558 协同相似
1,3038154,149192,0.745683,3,model_itemcf,与用户历史商品 2041056 协同相似
1,5132521,2520377,0.625957,4,model_itemcf,与用户历史商品 2041056 协同相似
1,1856780,1320293,0.577350,5,model_itemcf,与用户历史商品 2087357 协同相似
1,5001740,411153,0.545125,6,model_itemcf,与用户历史商品 271696 协同相似
1,4413999,1575622,0.471611,7,model_itemcf,与用户历史商品 2041056 协同相似
1,4805027,2520377,0.471611,8,model_itemcf,与用户历史商品 2041056 协同相似
1,3662858,1320293,0.465673,9,model_itemcf,与用户历史商品 230380 协同相似
1,539082,4217906,0.436436,10,model_itemcf,与用户历史商品 1340922 协同相似
100,4225589,5008466,0.987484,1,model_itemcf,与用户历史商品 1046201 协同相似
100,4210530,4643350,0.855186,2,model_itemcf,与用户历史商品 1046201 协同相似
100,1360555,4639855,0.800000,3,model_itemcf,与用户历史商品 4840649 协同相似
100,4650996,3002561,0.764902,4,model_itemcf,与用户历史商品 1046201 协同相似
100,2853104,1879194,0.730297,5,model_itemcf,与用户历史商品 4840649 协同相似
100,429741,4145813,0.730297,6,model_itemcf,与用户历史商品 4840649 协同相似
100,4022391,4145813,0.729305,7,model_itemcf,与用户历史商品 1046201 协同相似
100,2933279,4181361,0.707107,8,model_itemcf,与用户历史商品 1819306 协同相似
100,4672315,2465336,0.604708,9,model_itemcf,与用户历史商品 1046201 协同相似
100,715391,4602841,0.577350,10,model_itemcf,与用户历史商品 3687011 协同相似
1000,1866138,2921059,0.675973,1,model_itemcf,与用户历史商品 848341 协同相似
1000,4804308,1061857,0.632456,2,model_itemcf,与用户历史商品 2663756 协同相似
1000,4051680,1051370,0.501446,3,model_itemcf,与用户历史商品 3899295 协同相似
1000,2138186,2667323,0.500000,4,model_itemcf,与用户历史商品 3869395 协同相似
1000,1613543,1360711,0.488183,5,model_itemcf,与用户历史商品 3899295 协同相似
1000,3091401,1464116,0.477985,6,model_itemcf,与用户历史商品 848341 协同相似
1000,2827300,672001,0.365926,7,model_itemcf,与用户历史商品 3899295 协同相似
1000,3817028,4069500,0.335410,8,model_itemcf,与用户历史商品 1797452 协同相似
1000,4873660,2419959,0.324447,9,model_itemcf,与用户历史商品 3899295 协同相似
1000,4887896,2124307,0.316228,10,model_itemcf,与用户历史商品 3869395 协同相似
1000001,656693,4643350,1.423737,1,model_itemcf,与用户历史商品 1649625 协同相似
1000001,4342867,2218582,0.761802,2,model_itemcf,与用户历史商品 3132168 协同相似
1000001,3459319,3102419,0.534522,3,model_itemcf,与用户历史商品 1542066 协同相似
1000001,2489118,1575622,0.534522,4,model_itemcf,与用户历史商品 1542066 协同相似
1000001,3188556,3002561,0.474342,5,model_itemcf,与用户历史商品 4636765 协同相似
1000001,3261458,4145813,0.474342,6,model_itemcf,与用户历史商品 4636765 协同相似
1000001,1970377,3299155,0.474342,7,model_itemcf,与用户历史商品 4636765 协同相似
1000001,1312903,4244487,0.447214,8,model_itemcf,与用户历史商品 2428634 协同相似
1000001,5070834,4145813,0.413948,9,model_itemcf,与用户历史商品 5095065 协同相似
1000001,4158537,2520377,0.408248,10,model_itemcf,与用户历史商品 3093290 协同相似
1000004,2506681,3607361,2.585826,1,model_itemcf,与用户历史商品 4363399 协同相似
1000004,4129351,3607361,2.214916,2,model_itemcf,与用户历史商品 155433 协同相似
1000004,2434787,4756105,2.060076,3,model_itemcf,与用户历史商品 5098344 协同相似
1000004,211517,2920476,1.850484,4,model_itemcf,与用户历史商品 155433 协同相似
1000004,2988240,3607361,1.635420,5,model_itemcf,与用户历史商品 4363399 协同相似
1000004,1896589,3607361,1.635420,6,model_itemcf,与用户历史商品 4363399 协同相似
1000004,17756,737184,1.633435,7,model_itemcf,与用户历史商品 5064213 协同相似
1000004,3198383,1789614,1.545327,8,model_itemcf,与用户历史商品 4363399 协同相似
1000004,2868075,3189162,1.491625,9,model_itemcf,与用户历史商品 522765 协同相似
1000004,1838960,3381583,1.442809,10,model_itemcf,与用户历史商品 522765 协同相似
1000011,3548254,2578647,1.395200,1,model_itemcf,与用户历史商品 1969563 协同相似
1000011,1532852,4756105,1.094908,2,model_itemcf,与用户历史商品 3531412 协同相似
1000011,4200294,4756105,1.033461,3,model_itemcf,与用户历史商品 3531412 协同相似
1000011,4629851,2578647,1.016615,4,model_itemcf,与用户历史商品 1969563 协同相似
1000011,2982792,2558244,0.969832,5,model_itemcf,与用户历史商品 4061696 协同相似
1000011,2472136,4339722,0.945731,6,model_itemcf,与用户历史商品 3844964 协同相似
1000011,1048650,2293367,0.934223,7,model_itemcf,与用户历史商品 3991727 协同相似
1000011,3379023,2558244,0.864923,8,model_itemcf,与用户历史商品 3991727 协同相似
1000011,2082854,4756105,0.843307,9,model_itemcf,与用户历史商品 3531412 协同相似
1000011,3944171,2558244,0.803443,10,model_itemcf,与用户历史商品 3531412 协同相似
100002,2291696,4145813,0.741582,1,model_itemcf,与用户历史商品 1818697 协同相似
100002,498473,4170419,0.707107,2,model_itemcf,与用户历史商品 332222 协同相似
100002,2377088,84264,0.632456,3,model_itemcf,与用户历史商品 3532599 协同相似
100002,4976837,1158475,0.577350,4,model_itemcf,与用户历史商品 2928801 协同相似
100002,4064436,3607361,0.577350,5,model_itemcf,与用户历史商品 2928801 协同相似
100002,2720173,4022701,0.577350,6,model_itemcf,与用户历史商品 2928801 协同相似
100002,3704338,2565960,0.577350,7,model_itemcf,与用户历史商品 3425923 协同相似
100002,3786842,2355072,0.549995,8,model_itemcf,与用户历史商品 2279428 协同相似
100002,2443536,4993094,0.530483,9,model_itemcf,与用户历史商品 2660418 协同相似
100002,1349469,3372283,0.495889,10,model_itemcf,与用户历史商品 2279428 协同相似
1000027,812879,4756105,1.510000,1,model_itemcf,冷启动补充：淘宝样本热门商品
1000027,2331370,3607361,1.480000,2,model_itemcf,冷启动补充：淘宝样本热门商品
1000027,1535294,3848953,1.170000,3,model_itemcf,冷启动补充：淘宝样本热门商品
1000027,138964,3607361,1.130000,4,model_itemcf,冷启动补充：淘宝样本热门商品
1000027,3031354,2735466,1.060000,5,model_itemcf,冷启动补充：淘宝样本热门商品
1000027,2279428,2303546,0.870000,6,model_itemcf,冷启动补充：淘宝样本热门商品
1000027,1223110,3607361,0.870000,7,model_itemcf,冷启动补充：淘宝样本热门商品
1000027,2828948,4145813,0.810000,8,model_itemcf,冷启动补充：淘宝样本热门商品
1000027,3920968,4756105,0.800000,9,model_itemcf,冷启动补充：淘宝样本热门商品
1000027,705557,3158249,0.790000,10,model_itemcf,冷启动补充：淘宝样本热门商品
1000028,5160703,570735,1.471121,1,model_itemcf,与用户历史商品 2955350 协同相似
1000028,1084385,3607361,1.461513,2,model_itemcf,与用户历史商品 4022391 协同相似
1000028,867153,2355072,1.381350,3,model_itemcf,与用户历史商品 2842089 协同相似
1000028,3051736,3607361,1.230805,4,model_itemcf,与用户历史商品 4022391 协同相似
1000028,443827,3379070,1.209354,5,model_itemcf,与用户历史商品 1910706 协同相似
1000028,4066167,3379070,1.209354,6,model_itemcf,与用户历史商品 1910706 协同相似
1000028,4846978,3379070,1.209354,7,model_itemcf,与用户历史商品 1910706 协同相似
1000028,2278643,1573426,1.209354,8,model_itemcf,与用户历史商品 1910706 协同相似
1000028,960935,1573426,1.209354,9,model_itemcf,与用户历史商品 1910706 协同相似
1000028,3637024,1573426,1.209354,10,model_itemcf,与用户历史商品 1910706 协同相似
1000037,2252560,1299190,0.960769,1,model_itemcf,与用户历史商品 1220308 协同相似
1000037,4499282,1299190,0.905822,2,model_itemcf,与用户历史商品 1220308 协同相似
1000037,999241,1299190,0.905822,3,model_itemcf,与用户历史商品 1220308 协同相似
1000037,1214840,1051370,0.888125,4,model_itemcf,与用户历史商品 4120269 协同相似
1000037,848341,5071267,0.696299,5,model_itemcf,与用户历史商品 1479721 协同相似
1000037,4051680,1051370,0.687938,6,model_itemcf,与用户历史商品 4120269 协同相似
1000037,248898,4801426,0.640513,7,model_itemcf,与用户历史商品 1220308 协同相似
1000037,4085385,1879194,0.572892,8,model_itemcf,与用户历史商品 1220308 协同相似
1000037,4107272,2920476,0.572892,9,model_itemcf,与用户历史商品 1220308 协同相似
1000037,4861320,1299190,0.522976,10,model_itemcf,与用户历史商品 1220308 协同相似
1000040,2040903,4145813,2.524029,1,model_itemcf,与用户历史商品 3008576 协同相似
1000040,920858,2465336,1.935992,2,model_itemcf,与用户历史商品 2331370 协同相似
1000040,1358135,3607361,1.688109,3,model_itemcf,与用户历史商品 2331370 协同相似
1000040,4496309,737184,1.633635,4,model_itemcf,与用户历史商品 2307787 协同相似
1000040,1309628,3189935,1.625866,5,model_itemcf,与用户历史商品 4777442 协同相似
1000040,4445002,2355072,1.576252,6,model_itemcf,与用户历史商品 4777442 协同相似
1000040,117672,4022701,1.368953,7,model_itemcf,与用户历史商品 2331370 协同相似
1000040,3787445,1575622,1.323135,8,model_itemcf,与用户历史商品 4777442 协同相似
1000040,4517511,3607361,1.314164,9,model_itemcf,与用户历史商品 4777442 协同相似
1000040,4765258,1859277,1.289687,10,model_itemcf,与用户历史商品 1519724 协同相似
1000045,280204,3607361,1.703717,1,model_itemcf,与用户历史商品 3908819 协同相似
1000045,3021151,3607361,1.620533,2,model_itemcf,与用户历史商品 4281942 协同相似
1000045,1103144,4145813,1.571964,3,model_itemcf,与用户历史商品 4952541 协同相似
1000045,2152940,3607361,1.527246,4,model_itemcf,与用户历史商品 4281942 协同相似
1000045,1438064,3607361,1.493267,5,model_itemcf,与用户历史商品 4952541 协同相似
1000045,1309628,3189935,1.323420,6,model_itemcf,与用户历史商品 4952541 协同相似
1000045,2331370,3607361,1.234430,7,model_itemcf,与用户历史商品 4952541 协同相似
1000045,997154,982926,1.212682,8,model_itemcf,与用户历史商品 723288 协同相似
1000045,138964,3607361,1.203576,9,model_itemcf,与用户历史商品 4952541 协同相似
1000045,4509276,3607361,1.203403,10,model_itemcf,与用户历史商品 4281942 协同相似
